date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:37:09	38741/38741	---MCZ	200	added ('OK')	text/html	etag:W/%2208abe5527ef8693d674ed84c5e9c2139--gzip%22	https://www.lexarae.com/green-roads/	lexarae.com/www.lexarae.com/green-roads/index.html	(from https://www.lexarae.com/)
21:37:09	45108/45108	---MCZ	200	added ('OK')	text/html	etag:W/%22c858ec7c22b3640c6f4ac5dde4d31672--gzip%22	https://www.lexarae.com/additional-website-work/	lexarae.com/www.lexarae.com/additional-website-work/index.html	(from https://www.lexarae.com/)
21:37:10	37857/37857	---M-Z	200	added ('OK')	text/html	etag:W/%22989f892606d43f3eac395e5ffd542f52%22	https://www.lexarae.com/covid19-tracker	lexarae.com/www.lexarae.com/covid19-tracker.html	(from https://www.lexarae.com/covid19-tracker/)
21:37:10	38428/38428	---MCZ	200	added ('OK')	text/html	etag:W/%220516888fd88ba5fc5afcca0c16256508--gzip%22	https://www.lexarae.com/willspace-marketing/	lexarae.com/www.lexarae.com/willspace-marketing/index.html	(from https://www.lexarae.com/)
21:37:10	48283/48283	---MCZ	200	added ('OK')	text/html	etag:W/%2203f7f2c5f3166c12cabd9506070ffe33--gzip%22	https://www.lexarae.com/lms-app/	lexarae.com/www.lexarae.com/lms-app/index.html	(from https://www.lexarae.com/)
21:37:11	37990/37990	---MCZ	200	added ('OK')	text/html	etag:W/%2266af2f67889517ef1cef85f2e010d631--gzip%22	https://www.lexarae.com/ecommerce-website	lexarae.com/www.lexarae.com/ecommerce-website.html	(from https://www.lexarae.com/ecommerce-website/)
21:37:11	43892/43892	---MCZ	200	added ('OK')	text/html	etag:W/%221777030392ef4fa81232d934e97cb341--gzip%22	https://www.lexarae.com/meetings-and-events-app/	lexarae.com/www.lexarae.com/meetings-and-events-app/index.html	(from https://www.lexarae.com/)
21:37:11	43550/43550	---M-Z	200	added ('OK')	text/html	etag:W/%22653db5d2bd56d37b72120481c922c0f9--gzip%22	https://www.lexarae.com/humanityco	lexarae.com/www.lexarae.com/humanityco.html	(from https://www.lexarae.com/humanityco/)
21:37:13	39649/39649	---MCZ	200	added ('OK')	text/html	etag:W/%22cf4128b180ce8dc3e6ea53997d460bbe--gzip%22	https://www.lexarae.com/weather-app	lexarae.com/www.lexarae.com/weather-app.html	(from https://www.lexarae.com/weather-app/)
21:37:14	39615/39615	---MCZ	200	added ('OK')	text/html	etag:W/%22ba8fa1d3736ffb13f21524900c17ea7a--gzip%22	https://www.lexarae.com/unsplash-photo-search-app	lexarae.com/www.lexarae.com/unsplash-photo-search-app.html	(from https://www.lexarae.com/unsplash-photo-search-app/)
21:37:14	48708/48708	---M-Z	200	added ('OK')	text/html	etag:W/%229011c968cc5c92e51afc4cdc0a4db7ad--gzip%22	https://www.lexarae.com/willspace-app	lexarae.com/www.lexarae.com/willspace-app.html	(from https://www.lexarae.com/willspace-app/)
21:37:16	38741/38741	---MCZ	200	added ('OK')	text/html	etag:W/%227870dbcb3fb2da38b717ef8ab0334540--gzip%22	https://www.lexarae.com/green-roads	lexarae.com/www.lexarae.com/green-roads.html	(from https://www.lexarae.com/green-roads/)
21:37:17	45108/45108	---MCZ	200	added ('OK')	text/html	etag:W/%22c82ee1b46d16dd82351073e87e11b24c--gzip%22	https://www.lexarae.com/additional-website-work	lexarae.com/www.lexarae.com/additional-website-work.html	(from https://www.lexarae.com/additional-website-work/)
21:37:18	38428/38428	---MCZ	200	added ('OK')	text/html	etag:W/%2244d3d754778f60cd95ce8ea2829dd0ba--gzip%22	https://www.lexarae.com/willspace-marketing	lexarae.com/www.lexarae.com/willspace-marketing.html	(from https://www.lexarae.com/willspace-marketing/)
21:37:19	48283/48283	---MCZ	200	added ('OK')	text/html	etag:W/%22beeb5a26d043a41f07ed0176419598bb--gzip%22	https://www.lexarae.com/lms-app	lexarae.com/www.lexarae.com/lms-app.html	(from https://www.lexarae.com/lms-app/)
21:37:20	43892/43892	---MCZ	200	added ('OK')	text/html	etag:W/%22d1c1ca7f306ea3713f01a14496bdacbe--gzip%22	https://www.lexarae.com/meetings-and-events-app	lexarae.com/www.lexarae.com/meetings-and-events-app.html	(from https://www.lexarae.com/meetings-and-events-app/)
